Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,No. of Threads,Branch_Cut_Time,Objective Function_Branch_Cut,Sol_Status_Branch_Cut,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,Speedup,Instance_no_df2,Instance_name_df2,No. of Edges_df2,No. of Threads_df2,EPM_Time,Objective Function_EPM,Sol_Status_EPM
44,CARP_N11_g_graph.dat,2134,2411,10,unlimited,15681.93,3127022.0,integer optimal solution,11448.13,286.95,11735.08,3127022.0,integer optimal solution,1.34,62,CARP_N11_g_graph.dat,2411,unlimited,14962.92,3127022.0,integer optimal solution
45,CARP_N11_g_graph.dat,2134,2411,30,unlimited,16120.05,1521305.0,integer optimal solution,5220.11,286.95,5507.06,1521305.0,integer optimal solution,2.93,63,CARP_N11_g_graph.dat,2411,unlimited,14396.19,1521305.0,integer optimal solution
46,CARP_N11_g_graph.dat,2134,2411,40,unlimited,16479.26,1235625.0,integer optimal solution,3761.64,286.95,4048.59,1235625.0,integer optimal solution,4.07,64,CARP_N11_g_graph.dat,2411,unlimited,14162.59,1235625.0,integer optimal solution
47,CARP_N11_g_graph.dat,2134,2411,50,unlimited,16455.6,1053072.0,integer optimal solution,3237.15,286.95,3524.1,1053072.0,integer optimal solution,4.67,65,CARP_N11_g_graph.dat,2411,unlimited,13933.83,1053072.0,integer optimal solution
48,CARP_N11_g_graph.dat,2134,2411,100,unlimited,30691.29,591074.0,integer optimal solution,2786.81,286.95,3073.76,591074.0,"""integer optimal",9.98,66,CARP_N11_g_graph.dat,2411,unlimited,14073.95,591074.0,"""integer optimal"
49,CARP_N9_g_graph.dat,2018,2655,2,unlimited,16489.28,20147572.0,integer optimal solution,11998.6,324.8,12323.4,20147572.0,integer optimal solution,1.34,55,CARP_N9_g_graph.dat,2655,unlimited,17277.38,20147572.0,integer optimal solution
50,CARP_N9_g_graph.dat,2018,2655,10,unlimited,17448.47,6688786.0,integer optimal solution,10655.47,324.8,10980.27,6688786.0,integer optimal solution,1.59,56,CARP_N9_g_graph.dat,2655,unlimited,17077.81,6688786.0,integer optimal solution
51,CARP_N9_g_graph.dat,2018,2655,30,unlimited,23996.29,2832819.0,"""integer optimal",7310.81,324.8,7635.610000000001,2832819.0,"""integer optimal",3.14,57,CARP_N9_g_graph.dat,2655,unlimited,15208.09,2832819.0,"""integer optimal"
52,CARP_N9_g_graph.dat,2018,2655,40,unlimited,19148.72,2244107.0,integer optimal solution,4695.8,324.8,5020.6,2244107.0,integer optimal solution,3.81,58,CARP_N9_g_graph.dat,2655,unlimited,16334.02,2244107.0,integer optimal solution
53,CARP_N9_g_graph.dat,2018,2655,50,unlimited,10415.89,1886869.0,integer optimal solution,3308.41,324.8,3633.21,1886869.0,integer optimal solution,2.87,59,CARP_N9_g_graph.dat,2655,unlimited,15042.31,1886869.0,integer optimal solution
54,CARP_N9_g_graph.dat,2018,2655,100,unlimited,24231.86,1059897.0,integer optimal solution,2865.61,324.8,3190.4100000000003,1059897.0,integer optimal solution,7.6,60,CARP_N9_g_graph.dat,2655,unlimited,1237.39,1059897.0,integer optimal solution
55,CARP_K13_g_graph.dat,393,421,2,unlimited,23.28,760744.0,integer optimal solution,35.12,4.7,39.82,760744.0,integer optimal solution,0.58,13,CARP_K13_g_graph.dat,421,unlimited,21.34,760744.0,integer optimal solution
