Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,No. of Threads,Branch_Cut_Time,Objective Function_Branch_Cut,Sol_Status_Branch_Cut,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,Speedup
68,CARP_F15_g_graph.dat,198,265,10,unlimited,21.4,35977,integer optimal solution,7.7,0.64,8.34,35977,integer optimal solution,2.57
69,CARP_F15_g_graph.dat,198,265,30,unlimited,112.24,11439,integer optimal solution,6.73,0.64,7.37,11439,integer optimal solution,15.23
70,CARP_F15_g_graph.dat,198,265,40,unlimited,141.26,7575,integer optimal solution,7.2,0.64,7.84,7575,integer optimal solution,18.02
71,CARP_F15_g_graph.dat,198,265,50,unlimited,175.18,4976,integer optimal solution,6.93,0.64,7.57,4976,integer optimal solution,23.14
72,CARP_F15_g_graph.dat,198,265,100,unlimited,390.17,9,integer optimal solution,7.63,0.64,8.27,9,integer optimal solution,47.18
73,CARP_F6_p_graph.dat,502,741,2,unlimited,73.3,642808,integer optimal solution,93.84,6.71,100.55,642808,integer optimal solution,0.73
74,CARP_F6_p_graph.dat,502,741,10,unlimited,341.59,231232,"""integer optimal",117.75,6.71,124.46,231232,"""integer optimal",2.74
75,CARP_F6_p_graph.dat,502,741,30,unlimited,904.32,98561,integer optimal solution,84.9,6.71,91.61,98561,integer optimal solution,9.87
76,CARP_F6_p_graph.dat,502,741,40,unlimited,1173.09,76101,integer optimal solution,71.4,6.71,78.11,76101,integer optimal solution,15.02
77,CARP_F6_p_graph.dat,502,741,50,unlimited,1699.4,61507,"""integer optimal",82.39,6.71,89.1,61507,integer optimal solution,19.07
78,CARP_F6_p_graph.dat,502,741,100,unlimited,4294.45,26075,integer optimal solution,75.79,6.71,82.5,26075,integer optimal solution,52.05
